,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date
7,7,Iron Man 3 ,429102.0,358.0,1198.608938547486,Disney,02-06-2013
8,8,Yeh Jawaani Hai Deewani ,408491.0,88.0,4641.943181818182,Eros,02-06-2013
9,9,Byzantium ,114339.0,160.0,714.61875,StudioCanal,02-06-2013
10,10,All Stars ,106849.0,299.0,357.3545150501672,Vertigo,02-06-2013
11,11,Populaire ,106192.0,76.0,1397.2631578947369,eOne Films,02-06-2013
12,12,The Croods,59374.0,270.0,219.9037037037037,20th Century Fox,02-06-2013
13,13,Mud ,39765.0,46.0,864.4565217391304,eOne Films,02-06-2013
14,14,Everybody Has A Plan ,30862.0,18.0,1714.5555555555557,Metrodome,02-06-2013
0,0,Aladdin,4888931.0,645.0,7579.7379845,Disney,02-06-2019
1,1,Godzilla: King Of The Monsters,3507717.0,531.0,6605.8700565,Warner Bros,02-06-2019
2,2,The Secret Life of Pets 2,2940835.0,627.0,4690.32695375,Universal,02-06-2019
3,3,Rocketman,2486043.0,718.0,3462.45543175,Paramount,02-06-2019
4,4,Pokemon Detective Pikachu,664469.0,527.0,1260.85199241,Warner Bros,02-06-2019
5,5,John Wick: Chapter 3 - Parabellum,641642.0,426.0,1506.20187793,Lionsgate,02-06-2019
6,6,Ma,509624.0,397.0,1283.68765743,Universal,02-06-2019
7,7,Avengers: Endgame,480372.0,365.0,1316.08767123,Disney,02-06-2019
8,8,Paw Patrol Mighty Pups,130186.0,420.0,309.96666667,Paramount,02-06-2019
9,9,The Hustle,79988.0,155.0,516.0516129,Universal,02-06-2019
10,10,Thunder Road,44065.0,45.0,979.22222222,Vertigo,02-06-2019
11,11,NGK: Nandha Gopalan Kumaran,38734.2807272456,38.0,1019.32317703,Sun Media,02-06-2019
12,12,Sunset,36151.0,25.0,1446.04,Curzon,02-06-2019
13,13,Muklawa,31553.0400000157,10.0,3155.304,B4U Movies,02-06-2019
14,14,Amazing Grace,24471.0,45.0,543.8,StudioCanal,02-06-2019
0,0,Despicable Me 3,11154904.1263694,608.0,18346.88178679,Universal,02-07-2017
1,1,Baby Driver,3605705.0,543.0,6640.34069982,Sony Pictures,02-07-2017
2,2,Transformers: The Last Knight,1601971.0,573.0,2795.7609075,Paramount,02-07-2017
3,3,All Eyez on Me,912662.0,270.0,3380.22962963,Lionsgate,02-07-2017
4,4,Wonder Woman,911311.0,525.0,1735.83047619,Warner Bros,02-07-2017
5,5,The House,487542.0,407.0,1197.89189189,Warner Bros,02-07-2017
6,6,Pirates of the Caribbean: Salazar's Revenge,325732.0,365.0,892.41643836,Disney,02-07-2017
7,7,The Mummy,306434.971326046,337.0,909.30258554,Universal,02-07-2017
8,8,Baywatch,175955.0,254.0,692.73622047,Paramount,02-07-2017
9,9,Hampstead,148120.377552119,392.0,377.858106,eOne Films,02-07-2017
10,10,Alone in Berlin,108047.0,38.0,2843.34210526,Trafalgar Studios,02-07-2017
11,11,The Boss Baby,106383.0,394.0,270.00761421,20th Century Fox,02-07-2017
12,12,Churchill,84580.0,215.0,393.39534884,Lionsgate,02-07-2017
13,13,Tubelight,63796.8326506871,70.0,911.38332358,Yash Raj,02-07-2017
14,14,My Cousin Rachel,60503.0,128.0,472.6796875,20th Century Fox,02-07-2017
