,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date
13,13,Kick-Ass,137416.0,191.0,719.4554973821989,Universal,09-05-2010
14,14,Housefull,96898.0,47.0,2061.659574468085,Eros,09-05-2010
0,0,After Earth,2249532.0,470.0,4786.238297872341,Sony Pictures,09-06-2013
1,1,The Hangover Part III ,1145249.0,491.0,2332.4826883910387,Warner Bros,09-06-2013
2,2,Fast & Furious 6 ,846541.0,469.0,1804.991471215352,Universal,09-06-2013
3,3,Epic,665456.0,525.0,1267.535238095238,20th Century Fox,09-06-2013
4,4,The Great Gatsby,658225.0,505.0,1303.4158415841584,Warner Bros,09-06-2013
5,5,Star Trek Into Darkness,616662.0,417.0,1478.8057553956835,Paramount,09-06-2013
6,6,The Purge,541859.0,364.0,1488.6236263736264,Universal,09-06-2013
7,7,Behind the Candelabra,513288.0,131.0,3918.229007633588,eOne Films,09-06-2013
8,8,The Stone Roses: Made of Stone,367319.0,82.0,4479.5,Picture House Entertainment,09-06-2013
9,9,The Iceman,201789.0,220.0,917.2227272727272,Lionsgate,09-06-2013
10,10,Yeh Jawaani Hai Deewani,175467.0,62.0,2830.1129032258063,Eros,09-06-2013
11,11,Iron Man 3,154158.0,287.0,537.1358885017422,Disney,09-06-2013
12,12,The Last Exorcism: Part II,115811.0,214.0,541.1728971962617,StudioCanel,09-06-2013
13,13,Yamla Pagla Deewana 2,106271.0,60.0,1771.1833333333334,Bollywood Film,09-06-2013
14,14,The Croods,105744.0,353.0,299.5580736543909,20th Century Fox,09-06-2013
0,0,Aladdin,3929625.0,654.0,6008.60091743,Disney,09-06-2019
1,1,X-Men: Dark Phoenix,3771153.0,615.0,6131.95609756,20th Century Fox,09-06-2019
2,2,Rocketman,2166839.0,700.0,3095.48428571,Paramount,09-06-2019
3,3,The Secret Life of Pets 2,2038860.0,607.0,3358.91268534,Universal,09-06-2019
4,4,Take That - Greatest Hits Live (Concert),1834379.0,606.0,3027.02805281,CinemaLive,09-06-2019
5,5,Godzilla: King Of The Monsters,1033322.0,540.0,1913.55925926,Warner Bros,09-06-2019
6,6,Bharat,609506.0,143.0,4262.27972028,Cinestaan AA Distributors,09-06-2019
7,7,Casino Royale (Secret Cinema 2019),493243.0,11.0,493243.0,Independent,09-06-2019
8,8,John Wick: Chapter 3 - Parabellum,463005.0,371.0,1247.99191375,Lionsgate,09-06-2019
9,9,Pokemon Detective Pikachu,368441.0,462.0,797.49134199,Warner Bros,09-06-2019
10,10,Liam Gallagher: As It Was,363556.0,21.0,17312.19047619,Altitude,09-06-2019
11,11,Avengers: Endgame,273006.0,313.0,872.22364217,Disney,09-06-2019
12,12,Ma,257869.0,354.0,728.44350282,Universal,09-06-2019
13,13,Gloria Bell,80886.0,46.0,1758.39130435,Curzon,09-06-2019
14,14,Paw Patrol Mighty Pups,75323.937596927,333.0,226.1980108,Paramount,09-06-2019
0,0,Spider-Man: Homecoming,9369846.0,616.0,15210.78896104,Sony Pictures,09-07-2017
1,1,Despicable Me 3,5275120.01240082,625.0,8440.19201984,Universal,09-07-2017
2,2,Baby Driver,1388336.0,573.0,2422.92495637,Sony Pictures,09-07-2017
3,3,Transformers: The Last Knight,440822.0,469.0,939.91897655,Paramount,09-07-2017
4,4,Wonder Woman,315611.0,388.0,813.43041237,Warner Bros,09-07-2017
5,5,All Eyez on Me,296085.0,260.0,1138.78846154,Lionsgate,09-07-2017
6,6,It Comes at Night,226688.0,222.0,1021.11711712,Universal,09-07-2017
7,7,The House,137038.0,321.0,426.90965732,Warner Bros,09-07-2017
8,8,Mom,82137.1686644784,67.0,1225.92789051,Zee Studios,09-07-2017
9,9,Pirates of the Caribbean: Salazar's Revenge,82017.0,190.0,431.66842105,Disney,09-07-2017
10,10,The Boss Baby,74701.0,360.0,207.50277778,20th Century Fox,09-07-2017
11,11,The Mummy,72763.4016767166,165.0,440.99031319,Universal,09-07-2017
12,12,Tommy's Honour,48509.0,41.0,1183.14634146,Thunderbird,09-07-2017
13,13,Baywatch,47711.0,119.0,400.93277311,Paramount,09-07-2017
14,14,La Traviata - Teatro Dell'Opera 2017 (Opera),46765.0,120.0,389.70833333,Thunderbird,09-07-2017
0,0,The Ugly Truth ,1976043.0,400.0,4940.1075,Sony Pictures,09-08-2009
1,1,G. I. Joe,1708760.0,442.0,3865.972850678733,Paramount,09-08-2009
2,2,Harry Potter and the Half-Blood Prince,1349113.0,535.0,2521.706542056075,Warner Bros,09-08-2009
3,3,G-Force,1223891.0,426.0,2872.983568075117,Disney,09-08-2009
4,4,The Proposal,755242.0,441.0,1712.5668934240364,Disney,09-08-2009
5,5,The Taking of Pelham 1 2 3,661334.0,381.0,1735.7847769028872,Sony Pictures,09-08-2009
6,6,Ice Age III,612570.0,480.0,1276.1875,20th Century Fox,09-08-2009
7,7,Orphan,570146.0,285.0,2000.5122807017544,Optimum,09-08-2009
8,8,The Hangover,279531.0,239.0,1169.5857740585775,Warner Bros,09-08-2009
9,9,Coco Before Chanel,249732.0,98.0,2548.285714285714,Optimum,09-08-2009
10,10,Bruno,203853.0,272.0,749.4595588235294,Universal,09-08-2009
11,11,Land of the Lost,186567.0,338.0,551.9733727810651,Universal,09-08-2009
12,12,Love Aaj Kal,161493.0,51.0,3166.529411764706,Eros,09-08-2009
13,13,Mesrine: Killer Instinct,135999.0,55.0,2472.7090909090907,Momentum,09-08-2009
14,14,Moon,77075.0,55.0,1401.3636363636365,Sony Pictures,09-08-2009
0,0,Fantastic Four,2686176.0,539.0,4983.628942486085,20th Century Fox,09-08-2015
1,1,Mission Impossible: Rogue Nation,2408562.0,581.0,4145.545611015491,Paramount Pictures,09-08-2015
2,2,Inside Out,1957627.0,623.0,3142.258426966292,Disney,09-08-2015
3,3,Southpaw,793255.0,416.0,1906.8629807692307,Entertainment,09-08-2015
4,4,The Gift,584552.0,333.0,1755.411411411411,Lions Gate,09-08-2015
5,5,Ant-Man,565319.0,457.0,1237.0218818380745,DIsney,09-08-2015
6,6,Minions,516174.0,559.0,923.3881932021468,Universal,09-08-2015
7,7,The Empire Strikes Back (Secret Cinema 2015),261750.0,1.0,261750.0,20th Century Fox,09-08-2015
8,8,Jurassic World,178441.0,288.0,619.5868055555555,Universal,09-08-2015
9,9,Amy,95725.0,103.0,929.3689320388348,Altitude,09-08-2015
10,10,Bajrangi Bhaijaan,91745.0,40.0,2293.625,Eros,09-08-2015
11,11,The Diary of a Teenage Girl,81185.0,80.0,1014.8125,Vertigo Films,09-08-2015
12,12,Ted 2,78486.0,189.0,415.26984126984127,Universal,09-08-2015
13,13,Hot Pursuit,67490.0,261.0,258.5823754789272,Warner Bros,09-08-2015
14,14,Home,56566.0,289.0,195.7301038062284,20th Century Fox,09-08-2015
0,0,Unhinged,117633.0,270.0,436.0,Altitude,09-08-2020
1,1,Onward,46576.0,245.0,190.0,Disney,09-08-2020
2,2,100% Wolf,42500.0,259.0,164.0,Vertigo,09-08-2020
3,3,American Pickle,27732.0,162.0,171.0,Warner Bros,09-08-2020
4,4,Star Wars: Episode V - Empire Strikes Back (Re: 1997),27617.0,132.0,209.0,20th Century Fox,09-08-2020
5,5,Jurassic Park (Re: 2020),26992.0,82.0,329.0,Universal,09-08-2020
6,6,Trolls World Tour,21716.0,148.0,147.0,Universal,09-08-2020
7,7,The Greatest Showman,20182.0,58.0,348.0,20th Century Fox,09-08-2020
8,8,The Vigil,16012.0,177.0,90.0,Vertigo,09-08-2020
9,9,The Lord Of The Rings: The Return Of The King (Re: 2020) - Extended Version,13005.0,118.0,110.0,Warner Bros,09-08-2020
10,10,Interstellar,12751.0,48.0,266.0,Warner Bros,09-08-2020
11,11,Harry Potter & The Order Of The Phoenix,12706.0,116.0,110.0,Warner Bros,09-08-2020
12,12,The Matrix: 20th Anniversary (4K Restoration),12244.0,68.0,180.0,Warner Bros,09-08-2020
13,13,The Invisible Man,11924.0,56.0,213.0,Universal,09-08-2020
14,14,The Lord Of The Rings: The Fellowship Of The Ring (Re: 2020) - Extended Version,11769.0,119.0,99.0,Warner Bros,09-08-2020
0,0,"Run, Fat Boy, Run",2010250.0,413.0,4867.433414043584,Entertainment,09-09-2007
1,1,Atonement,1634065.0,411.0,3975.8272506082726,Universal,09-09-2007
2,2,The Bourne Ultimatum,1091082.0,457.0,2387.487964989059,Universal,09-09-2007
3,3,Knocked Up,756339.0,408.0,1853.7720588235293,Universal,09-09-2007
4,4,1408,550538.0,398.0,1383.2613065326634,Paramount,09-09-2007
5,5,The Simpsons,256737.0,429.0,598.4545454545455,20th Century Fox,09-09-2007
6,6,Rush Hour 3,242054.0,279.0,867.5770609318996,Entertainment,09-09-2007
7,7,Harry Potter and the Order of the Phoenix,163241.0,271.0,602.3653136531366,Warner,09-09-2007
8,8,Bratz: The Movie,161940.0,371.0,436.4959568733154,Momentum,09-09-2007
9,9,Transformers,137230.0,227.0,604.5374449339207,Paramount,09-09-2007
10,10,No Reservations,127325.0,321.0,396.6510903426792,Warner,09-09-2007
11,11,Surf's Up,111937.0,373.0,300.0991957104558,Sony,09-09-2007
12,12,Dhamaal,107118.0,39.0,2746.6153846153848,Tip Top ,09-09-2007
13,13,Rise of the Footsoldier,85903.0,138.0,622.4855072463768,Optimum,09-09-2007
14,14,Two Days in Paradise ,78108.0,37.0,2111.027027027027,The Works,09-09-2007
0,0,Dredd,1049345.0,415.0,2528.5421686746986,Entertainment,09-09-2012
1,1,Lawless,973234.0,410.0,2373.741463414634,Momentum,09-09-2012
2,2,Anna Karenina,875702.0,496.0,1765.5282258064517,Universal,09-09-2012
3,3,Total Recall,675280.0,466.0,1449.098712446352,Sony Pictures,09-09-2012
4,4,Brave,649057.0,530.0,1224.6358490566038,Disney,09-09-2012
5,5,The Possession,533334.0,358.0,1489.7597765363128,Lions Gate,09-09-2012
6,6,Ted,479943.0,383.0,1253.1148825065277,Universal,09-09-2012
7,7,The Dark Knight Rises,352587.0,256.0,1377.29296875,Warner Bros,09-09-2012
8,8,The Watch,338184.0,373.0,906.6595174262736,20th Century Fox,09-09-2012
9,9,The Bourne Legacy,270180.0,305.0,885.8360655737705,Universal,09-09-2012
10,10,That's My Boy,254621.0,289.0,881.0415224913495,Sony Pictures,09-09-2012
11,11,Diary of a Wimpy Kid: Dog Days,125474.0,415.0,302.34698795180725,20th Century Fox,09-09-2012
12,12,The Expendables 2,120430.0,168.0,716.8452380952381,Lions Gate,09-09-2012
13,13,The Three Stooges,84687.0,317.0,267.15141955835963,20th Century Fox,09-09-2012
14,14,Keith Lemon The Film,76430.0,150.0,509.53333333333336,Lions Gate,09-09-2012
0,0,The Nun,4098198.0,548.0,7478.463503649635,Warner Bros,09-09-2018
1,1,Disney's Christopher Robin,883916.0,602.0,1468.299003322259,Disney,09-09-2018
2,2,BlacKkKlansman,792646.0,483.0,1641.089026915114,Universal,09-09-2018
3,3,Mamma Mia: Here we Go Again!,726771.0,577.0,1259.5684575389948,Universal,09-09-2018
4,4,The Meg,612133.0,475.0,1288.701052631579,Warner Bros,09-09-2018
5,5,Incredibles 2,608434.0,537.0,1133.024208566108,Disney,09-09-2018
6,6,Searching,435094.0,403.0,1079.637717121588,Sony Pictures,09-09-2018
7,7,Hotel Transylvania 3: A Monster Vacation,427742.0,520.0,822.5807692307692,Sony Pictures,09-09-2018
8,8,The Equalizer 2,403012.0,345.0,1168.1507246376812,Sony Pictures,09-09-2018
9,9,Black 47 (Ireland),398814.0,103.0,3871.980582524272,Wildcard,09-09-2018
10,10,Mission: Impossible Fallout,384586.0,319.0,1205.5987460815047,Paramount,09-09-2018
11,11,Ant-Man and The Wasp,355342.0,355.0,1000.96338028169,Disney,09-09-2018
12,12,American Animals,347486.0,160.0,2171.7875,STX Entertainment,09-09-2018
13,13,The Children Act,297456.0,370.0,803.9351351351352,eOne Films,09-09-2018
14,14,Yardie,196833.0,225.0,874.8133333333333,StudioCanal,09-09-2018
0,0,Johnny English Reborn,4965000.0,524.0,9475.190839694656,Universal,09-10-2011
1,1,The Lion King,2746763.0,414.0,6634.693236714976,Disney,09-10-2011
2,2,"Tinker, Tailor, Soldier, Spy ",1066742.0,468.0,2279.363247863248,Studio Canal,09-10-2011
3,3,Abduction,512630.0,374.0,1370.668449197861,Lions Gate,09-10-2011
4,4,Don't Be Afraid of the Dark,495734.0,229.0,2164.7772925764198,Studio Canal,09-10-2011
5,5,Midnight in Paris,495709.0,153.0,3239.928104575164,Warner Bros,09-10-2011
6,6,"Crazy, Stupid, Love",367723.0,282.0,1303.982269503546,Warner Bros,09-10-2011
7,7,Drive,304163.0,159.0,1912.9748427672955,Icon,09-10-2011
8,8,The Inbetweeners Movie,285264.0,265.0,1076.467924528302,Entertainment,09-10-2011
9,9,The Debt,278060.0,320.0,868.9375,Universal,09-10-2011
10,10,The Smurfs,190670.0,397.0,480.2770780856423,Sony Pictures,09-10-2011
11,11,Shark Night 3D,157211.0,259.0,606.992277992278,Entertainment,09-10-2011
12,12,Friends with Benefits,131309.0,146.0,899.3767123287671,Sony Pictures,09-10-2011
13,13,Warrior,118885.0,158.0,752.4367088607595,Lions Gate,09-10-2011
14,14,What's Your Number?,117074.0,245.0,477.8530612244898,20th Century Fox,09-10-2011
0,0,The Girl on the Train,6957945.0,612.0,11369.191176470587,eOne Films,09-10-2016
1,1,Bridget Jones's Baby,2997832.0,616.0,4866.61038961039,Universal,09-10-2016
2,2,Miss Peregrine’s Home for Peculiar Children,2224702.0,572.0,3889.3391608391607,20th Century Fox,09-10-2016
3,3,Deepwater Horizon,987694.0,486.0,2032.2921810699588,Lionsgate,09-10-2016
4,4,The Magnificent Seven,511539.0,445.0,1149.5258426966293,Sony Pictures,09-10-2016
5,5,Finding Dory,282031.0,456.0,618.4890350877193,Disney,09-10-2016
6,6,War on Everyone,187564.0,203.0,923.960591133005,Icon,09-10-2016
7,7,Tristan und Isolde - Met Opera 2016 (Opera),178283.0,172.0,1036.5290697674418,By Experience,09-10-2016
8,8,Kubo and the Two Strings,131951.0,414.0,318.72222222222223,Universal,09-10-2016
9,9,Don’t Breathe,128090.0,171.0,749.0643274853801,Sony Pictures,09-10-2016
10,10,My Scientology Movie,106720.0,26.0,4104.615384615385,Altitude,09-10-2016
11,11,Remo,74132.0,35.0,2118.057142857143,Ayngaran,09-10-2016
12,12,The Young Offenders,70717.0,62.0,1140.5967741935483,Wildcard,09-10-2016
13,13,Bad Moms,70568.0,153.0,461.2287581699346,Entertainment,09-10-2016
14,14,The Secret Life of Pets,69990.0,224.0,312.4553571428572,Universal,09-10-2016
0,0,Smile,1715678.0,521.0,3293.0,Paramount,09-10-2022
1,1,The Woman King,1308685.0,574.0,2280.0,eOne Films,09-10-2022
2,2,Don't Worry Darling,1020083.0,664.0,1536.0,Warner Bros,09-10-2022
3,3,Ticket To Paradise,861172.0,651.0,1323.0,Universal,09-10-2022
4,4,Amsterdam,632722.0,614.0,1030.0,Disney,09-10-2022
5,5,Mrs. Harris Goes To Paris,514977.0,659.0,781.0,Universal,09-10-2022
6,6,The Lost King,368753.0,559.0,660.0,Warner Bros,09-10-2022
7,7,Ponniyin Selvan: I,188996.0,91.0,2077.0,DG Tech,09-10-2022
8,8,Minions: The Rise Of Gru,165586.0,449.0,369.0,Universal,09-10-2022
9,9,See How They Run,111325.0,320.0,348.0,Disney,09-10-2022
10,10,DC League Of Super-Pets,110873.0,415.0,267.0,Warner Bros,09-10-2022
11,11,Babe Bhangra Paunde Ne,100437.0,57.0,1762.0,White Hill Studios,09-10-2022
12,12,Godfather,93212.0,44.0,2118.0,Dreamz Entertainment,09-10-2022
13,13,Moonage Daydream,84177.0,177.0,476.0,Universal,09-10-2022
14,14,Tad The Lost Explorer And The Curse Of The Mummy,65372.0,417.0,157.0,Paramount,09-10-2022
0,0,Quantum of Solace,9221744.0,541.0,17045.73752310536,Sony Pictures,09-11-2008
1,1,High School Musical 3,1518469.0,470.0,3230.785106382979,Disney,09-11-2008
2,2,Ghost Town,714965.0,339.0,2109.041297935103,Paramount,09-11-2008
3,3,Saw V,493123.0,352.0,1400.9176136363635,Lions Gate,09-11-2008
4,4,Pride and Glory,396691.0,258.0,1537.562015503876,,09-11-2008
5,5,W ,367512.0,235.0,1563.8808510638298,,09-11-2008
6,6,Burn After Reading,358830.0,275.0,1304.8363636363636,Universal,09-11-2008
7,7,Easy Virtue,341099.0,301.0,1133.21926910299,,09-11-2008
8,8,Igor,244962.0,415.0,590.2698795180723,Momentum,09-11-2008
9,9,Hunger,122725.0,62.0,1979.435483870968,Pathé,09-11-2008
10,10,Mamma Mia!,97722.0,183.0,534.0,Universal,09-11-2008
11,11,Scar 3D,74371.0,51.0,1458.2549019607843,,09-11-2008
12,12,Eagle Eye,65596.0,107.0,613.0467289719626,Paramount,09-11-2008
13,13,Golmaal Returns,59499.0,41.0,1451.1951219512196,Studio 18,09-11-2008
14,14,The Boy in the Striped Pyjamas,43210.0,90.0,480.1111111111111,Disney,09-11-2008
0,0,Interstellar,5378220.0,574.0,9369.7212543554,WARNER,09-11-2014
1,1,Mr. Turner,1014433.0,252.0,4025.527777777778,eONE,09-11-2014
2,2,Teenage Mutant Ninja Turtles,738766.0,489.0,1510.7689161554192,PARAMOUNT,09-11-2014
3,3,Gone Girl,696874.0,420.0,1659.2238095238097,20TH FOX,09-11-2014
4,4,Fury,674430.0,480.0,1405.0625,SONY,09-11-2014
5,5,The Book Of Life,655010.0,522.0,1254.808429118774,20TH FOX,09-11-2014
6,6,Ouija,653678.0,404.0,1618.0148514851485,UNIVERSAL,09-11-2014
7,7,Nightcrawler,545221.0,412.0,1323.3519417475727,eONE,09-11-2014
8,8,The Maze Runner,396286.0,369.0,1073.9457994579946,20TH FOX,09-11-2014
9,9,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",318647.0,446.0,714.4551569506726,DISNEY,09-11-2014
10,10,Annabelle,121179.0,227.0,533.8281938325991,WARNER,09-11-2014
11,11,Say When (AKA Laggies),93259.0,122.0,764.4180327868852,ICON,09-11-2014
12,12,The Babadook,88206.0,179.0,47.80446927374302,ICON,09-11-2014
13,13,Chaar Sahibzaade,87849.0,16.0,472.125,DHARAM SEVA,09-11-2014
14,14,Happy New Year,73221.0,33.0,2218.818181818182,YASH RAJ,09-11-2014
0,0,The Golden Compass,7243984.0,507.0,14287.93688362919,Entertainment,09-12-2007
1,1,Fred Claus,1316193.0,447.0,2944.503355704698,Warner Bros.,09-12-2007
2,2,Hitman,623540.0,350.0,1781.5428571428572,20th Century Fox,09-12-2007
3,3,American Gangster,506061.0,387.0,1307.6511627906978,Universal,09-12-2007
4,4,Beowulf,337881.0,362.0,933.3729281767957,Warner Bros.,09-12-2007
5,5,Stardust,177013.0,317.0,558.4006309148265,Paramount,09-12-2007
6,6,Ratatouille,144410.0,358.0,403.3798882681565,Walt Disney Studios,09-12-2007
7,7,The Assassination of Jesse James,121481.0,61.0,1991.4918032786888,Warner Bros.,09-12-2007
8,8,The Darjeeling Limited,111131.0,95.0,1169.8,20th Century Fox,09-12-2007
9,9,Aaja Nachle,82241.0,42.0,1958.119047619048,Yash Raj,09-12-2007
10,10,Good Luck Chuck,82048.0,163.0,503.361963190184,Lions Gate,09-12-2007
11,11,Code Name: The Cleaner,61734.0,105.0,587.9428571428572,Verve,09-12-2007
12,12,Dus Kahaniyaan,39628.0,24.0,1651.1666666666667,Eros,09-12-2007
13,13,Into the Wild,35641.0,54.0,660.0185185185185,Paramount,09-12-2007
14,14,Strength and Honor,35155.0,36.0,976.5277777777778,Eclipse Pictures,09-12-2007
0,0,Rise of the Guardians,1602689.0,495.0,3237.7555555555555,Paramount,09-12-2012
1,1,Skyfall,1428708.0,513.0,2785.0058479532163,Sony Pictures,09-12-2012
2,2,Seven Psychopaths,1121679.0,399.0,2811.2255639097743,Momentum,09-12-2012
3,3,The Twilight Saga: Breaking Dawn - Part 2,980190.0,490.0,2000.3877551020407,eOne Films,09-12-2012
4,4,Nativity 2: Danger in the Manger!,966400.0,476.0,2030.252100840336,eOne Films,09-12-2012
5,5,Silver Linings Playbook,446324.0,390.0,1144.4205128205128,Entertainment,09-12-2012
6,6,Great Expectations,339375.0,454.0,747.522026431718,Lions Gate,09-12-2012
7,7,Argo,216892.0,224.0,968.2678571428572,Warner Bros,09-12-2012
8,8,End of Watch,143674.0,217.0,662.0921658986175,StudioCanal,09-12-2012
9,9,Madagascar 3: Europe's Most Wanted,138753.0,379.0,366.1029023746702,Paramount,09-12-2012
10,10,Talaash,138246.0,62.0,2229.7741935483878,Reliance,09-12-2012
11,11,Khiladi 786,104208.0,76.0,1371.157894736842,Eros,09-12-2012
12,12,Sightseers,102014.0,117.0,871.9145299145299,StudioCanal,09-12-2012
13,13,So Undercover,99340.0,283.0,351.0247349823322,Warner Bros,09-12-2012
14,14,Hotel Transylvania,86163.0,254.0,339.2244094488189,Sony Pictures,09-12-2012
0,0,Ralph Breaks the Internet,2446583.0,619.0,3952.47657512,Disney,09-12-2018
1,1,The Grinch,2001598.6424587,614.0,3259.93264244,Universal,09-12-2018
2,2,Creed 2,1717275.0,563.0,3050.22202487,Warner Bros,09-12-2018
3,3,Fantastic Beasts: The Crimes of Grindelwald,1468736.0,619.0,2372.75605816,Warner Bros,09-12-2018
4,4,Bohemian Rhapsody,978075.0,601.0,1627.41264559,20th Century Fox,09-12-2018
5,5,Nativity Rocks!,331701.0,472.0,702.75635593,eOne Films,09-12-2018
6,6,The Old Man & the Gun,317831.0,206.0,1542.86893204,20th Century Fox,09-12-2018
7,7,Sorry to Bother You,250453.0,147.0,1703.76190476,Universal,09-12-2018
8,8,"The Nutcracker - ROH, London 2018/19 (Ballet)",191828.0,167.0,1148.67065868,Royal Opera House,09-12-2018
9,9,Robin Hood,146557.0,340.0,431.05,Lionsgate,09-12-2018
10,10,The Nutcracker and the Four Realms,140213.080669891,288.0,486.85097455,Disney,09-12-2018
11,11,A Star is Born,115224.0,265.0,434.80754717,Warner Bros,09-12-2018
12,12,Widows,113572.0,221.0,513.90045249,20th Century Fox,09-12-2018
13,13,2.0,89058.0,65.0,1370.12307692,Ayngaran,09-12-2018
14,14,Die Hard (30th Anniversary),86628.0,190.0,455.93684211,Park Circus,09-12-2018
0,0,Avatar,4770980.0,493.0,9677.444219066938,20th Century Fox,10-01-2010
1,1,Sherlock Holmes,2026732.0,486.0,4170.230452674897,Warner Bros,10-01-2010
2,2,Daybreakers,1344588.0,378.0,3557.1111111111118,Lions Gate,10-01-2010
3,3,Alvin And The Chipmunks II,1220271.0,489.0,2495.441717791411,20th Century Fox,10-01-2010
4,4,It's Complicated,1098659.0,434.0,2531.4723502304146,Universal,10-01-2010
5,5,The Road,627147.0,157.0,3994.566878980892,Icon,10-01-2010
6,6,Did You Hear About The Morgans,558415.0,397.0,1406.5869017632242,Sony Pictures,10-01-2010
7,7,Nine,338454.0,369.0,917.219512195122,Entertainment,10-01-2010
8,8,St. Trinian's 2,293904.0,390.0,753.6,Entertainment,10-01-2010
9,9,Sex & Drugs & Rock & Roll,173831.0,131.0,1326.9541984732823,Entertainment,10-01-2010
10,10,3 Idiots,140248.0,52.0,2697.076923076923,Adlabs Films,10-01-2010
11,11,The Twilight Saga: New Moon,95613.0,128.0,746.9765625,E1 Films,10-01-2010
12,12,Planet 51,79190.0,260.0,304.5769230769231,Entertainment,10-01-2010
13,13,Nowhere Boy,77101.0,97.0,794.8556701030927,Icon,10-01-2010
14,14,Dulha Mil Gaya,71760.0,48.0,1495.0,B4U Network,10-01-2010
0,0,Star Wars: The Force Awakens,6001948.0,634.0,9466.794952681388,Disney,10-01-2016
1,1,The Hateful Eight,2778633.0,402.0,6912.022388059701,Entertainment,10-01-2016
2,2,Daddy's Home,2268945.0,466.0,4868.980686695279,Paramount,10-01-2016
3,3,The Danish Girl,1294024.0,545.0,2374.355963302752,Universal,10-01-2016
4,4,Joy,1047139.0,532.0,1968.306390977444,20th Century Fox,10-01-2016
5,5,Snoopy And Charlie Brown: The Peanuts Movie,693575.0,548.0,1265.647810218978,20th Century Fox,10-01-2016
6,6,The Good Dinosaur,438680.0,524.0,837.175572519084,Disney,10-01-2016
7,7,"The Hunger Games: Mockingjay, Part 2",240095.0,207.0,1159.87922705314,Lionsgate,10-01-2016
8,8,In The Heart Of The Sea,202774.0,330.0,614.4666666666667,Warner Bros,10-01-2016
9,9,Bridge of Spies,179554.0,157.0,1143.656050955414,20th Century Fox,10-01-2016
10,10,SPECTRE,177422.0,148.0,1198.7972972972973,Sony Pictures,10-01-2016
11,11,Sisters,136952.0,158.0,866.7848101265823,Universal,10-01-2016
12,12,The Lady in the Van,85437.0,63.0,1356.142857142857,Sony Pictures,10-01-2016
13,13,Wazir,78647.0,33.0,2383.242424242424,Reliance Big Pictures ,10-01-2016
14,14,Bajirao Mastani,73817.0,42.0,1757.547619047619,Eros,10-01-2016
0,0,National Treasure 2,2483297.0,491.0,5057.631364562119,Disney,10-02-2008
1,1,Juno,2002120.0,363.0,5515.482093663912,20th Century Fox,10-02-2008
2,2,Cloverfield,1652549.0,386.0,4281.215025906736,Paramount,10-02-2008
3,3,Sweeney Todd,765992.0,397.0,1929.4508816120904,Warner Bros.,10-02-2008
4,4,The Water Horse,760340.0,415.0,1832.144578313253,Sony Pictures,10-02-2008
5,5,"Definitely, Maybe",698041.0,332.0,2102.5331325301204,Universal,10-02-2008
6,6,Over Her Dead Body,574521.0,300.0,1915.07,Entertainment,10-02-2008
7,7,Penelope,425543.0,336.0,1266.497023809524,Momentum,10-02-2008
8,8,No Country for Old Men,411113.0,240.0,1712.9708333333333,Paramount,10-02-2008
9,9,Alvin and the Chipmunks,219273.0,376.0,583.1728723404256,20th Century Fox,10-02-2008
10,10,There Will Be Blood,215490.0,24.0,8978.75,Disney,10-02-2008
11,11,P.S. I Love You,196228.0,251.0,781.784860557769,Momentum,10-02-2008
12,12,Underdog,148339.0,167.0,888.2574850299401,Disney,10-02-2008
13,13,The Diving Bell and the Butterfly,106911.0,29.0,3686.586206896552,Pathé,10-02-2008
14,14,St. Trinian's,84784.0,210.0,403.73333333333335,Entertainment,10-02-2008
0,0,Wreck-It Ralph,4526380.0,501.0,9034.690618762475,Disney,10-02-2013
1,1,Les Miserables,1640857.0,514.0,3192.328793774319,Universal,10-02-2013
2,2,I Give It A Year,1450023.0,396.0,3661.6742424242425,Studiocanal,10-02-2013
3,3,Django Unchained,1073775.0,404.0,2657.858910891089,Sony,10-02-2013
4,4,Flight,925049.0,387.0,2390.307493540052,Paramount,10-02-2013
5,5,Warm Bodies,895509.0,315.0,2842.885714285714,eOne Films,10-02-2013
6,6,Lincoln,809196.0,434.0,1864.506912442396,20th Century Fox,10-02-2013
7,7,Hitchcock,606817.0,382.0,1588.5261780104713,20th Century Fox,10-02-2013
8,8,Life Of Pi,462559.0,316.0,1463.7943037974685,20th Century Fox,10-02-2013
9,9,The Impossible,351193.0,263.0,1335.3346007604562,eOne Films,10-02-2013
10,10,Zero Dark Thirty,253436.0,180.0,1407.977777777778,Universal,10-02-2013
11,11,The Hobbit: An Unexpected Journey,162832.0,166.0,980.9156626506024,Warner Bros,10-02-2013
12,12,Special 26,107520.0,44.0,2443.6363636363635,Tip Top Entertainment,10-02-2013
13,13,Quartet,95255.0,171.0,557.046783625731,Momentum,10-02-2013
14,14,Bullet To The Head,86737.0,173.0,501.3699421965318,eOne Films,10-02-2013
0,0,The LEGO Movie 2,4016730.32902893,572.0,7022.255819980647,Warner Bros,10-02-2019
1,1,Alita: Battle Angel,3198180.0,534.0,5989.101123595506,20th Century Fox,10-02-2019
2,2,How to Train Your Dragon: The Hidden World,2750729.0,566.0,4859.945229681979,Universal,10-02-2019
3,3,Green Book,1070922.0,573.0,1868.9738219895287,eOne Films,10-02-2019
4,4,Glass,560579.0,412.0,1360.628640776699,Disney,10-02-2019
