,Unnamed: 0,Title,Weekend Gross,Number of cinemas,Site average,Distributor,date,Film
0,15,Total,10536732.0,4163.0,2531.0429978380976,,05042009,
0,15,,22569537.0,,,,05042015,Total
0,15,Total,10557173.0,4176.0,2528.0586685823755,,05052013,
0,15,,,,,,05052019,Total
0,15,Total,13568004.0,3409.0,3980.0539747726607,,05062011,
0,15,,15455617.0,,,,05062016,Total
0,15,,14498315.0,,,,05062022,Total
0,15,Total,15731206.0,3858.0,4077.554691550026,,05072009,
0,15,,15915995.0,,,,05072015,Total
0,15,,162117.0,,,,05072020,Total
0,15,Total,10788361.0,3378.0,3193.7125518058024,,05082007,
0,15,Total,18942975.0,3991.0,4746.423202204961,,05082012,
0,15,,16512811.499999983,318.6666666666667,2092.9243855780405,,05082018,Total
0,15,Total,8552467.0,5004.0,1709.1260991207034,,05092010,
0,15,,9444338.0,,,,05092021,Total
0,15,Total,7327178.0,3958.0,1851.232440626579,,05102008,
0,15,Total,11366735.0,4954.0,2294.45599515543,,05102014,
0,15,,15373937.397924423,386.73333333333335,2188.5508478756674,,05112017,Total
0,15,Total,9295844.0,3697.0,2514.4289964836357,,05122010,
0,15,,6707608.0,,,,05122021,Total
0,15,Total,13312536.0,4230.0,3147.1716312056737,,06012008,
0,15,Total,19914855.0,5129.0,3882.794891791773,,06012013,
0,15,,18296326.40444417,422.9333333333333,2466.604730914861,,06012019,Total
0,15,Total,14991634.0,4692.0,3195.1479113384485,,06022011,
0,15,,12477635.0,,,,06022022,Total
0,15,Total,10968743.0,5509.0,1991.0588128516968,,06032011,
0,15,,10134421.0,,,,06032016,Total
0,15,,17993517.0,,,,06032022,Total
0,15,Total,7420297.0,4591.0,1616.2703114789806,,06042008,
0,15,Total,12995680.0,4471.0,2906.660702303735,,06042014,
0,15,Total,19191112.0,4380.0,4381.532420091325,,06052012,
0,15,,13630733.0,302.2,17197.062635723876,,06052018,Total
0,15,Total,8229554.0,4538.0,1813.4759806081972,,06062010,
0,15,,8826686.0,,,,06062021,Total
0,15,Total,20381426.0,3334.0,6113.205158968206,,06072008,
0,15,Total,6100797.0,3861.0,1580.108003108003,,06072014,
