cinema_name,category,cinema_url,postcode_category
Curzon Cinemas Ltd,Cinema,https://www.google.com/maps/place/Curzon+Cinemas+Ltd/data=!4m7!3m6!1s0x48761b3496d0c827:0x789e6ceda6f11e57!8m2!3d51.5164856!4d-0.1223056!16s%2Fg%2F11s49172z8!19sChIJJ8jQljQbdkgRVx7xpu1snng?authuser=0&hl=en&rclk=1,Central+London
The Cinema at Selfridges,Cinema,https://www.google.com/maps/place/The+Cinema+at+Selfridges/data=!4m7!3m6!1s0x48761b2f75534fff:0x9f8c07aaea6171e0!8m2!3d51.514903!4d-0.1519141!16s%2Fg%2F11bcdhjzrr!19sChIJ_09TdS8bdkgR4HFh6qoHjJ8?authuser=0&hl=en&rclk=1,Central+London
Pearl & Dean Cinemas,Cinema,https://www.google.com/maps/place/Pearl+%26+Dean+Cinemas/data=!4m7!3m6!1s0x48761b2d65e2bf75:0x397b668cb7178a31!8m2!3d51.5165835!4d-0.1298954!16s%2Fg%2F11fy1ttqxw!19sChIJdb_iZS0bdkgRMYoXt4xmezk?authuser=0&hl=en&rclk=1,Central+London
The Soho Screening Rooms,Cinema,https://www.google.com/maps/place/The+Soho+Screening+Rooms/data=!4m7!3m6!1s0x487604d4c9ff7a35:0xea7a2f2c66e83478!8m2!3d51.5145585!4d-0.136478!16s%2Fg%2F1tf3b01p!19sChIJNXr_ydQEdkgReDToZiwveuo?authuser=0&hl=en&rclk=1,Central+London
Everyman Borough Yards,Cinema,https://www.google.com/maps/place/Everyman+Borough+Yards/data=!4m7!3m6!1s0x487603c1c71717c5:0xc3a103bb35d29811!8m2!3d51.5055291!4d-0.0922331!16s%2Fg%2F11rf8kf5lf!19sChIJxRcXx8EDdkgREZjSNbsDocM?authuser=0&hl=en&rclk=1,Central+London
Close-Up Cinema,Cinema,https://www.google.com/maps/place/Close-Up+Cinema/data=!4m7!3m6!1s0x48761cb7b84f906d:0x15e0d7b63c37310b!8m2!3d51.5236256!4d-0.0720474!16s%2Fg%2F11bcf0htrq!19sChIJbZBPuLccdkgRCzE3PLbX4BU?authuser=0&hl=en&rclk=1,Central+London
The Inside Step,Cinema,https://www.google.com/maps/place/The+Inside+Step/data=!4m7!3m6!1s0x487604ccaa935715:0xea2bd06993874d30!8m2!3d51.5148394!4d-0.1234121!16s%2Fg%2F11b_3grv3t!19sChIJFVeTqswEdkgRME2Hk2nQK-o?authuser=0&hl=en&rclk=1,Central+London
Barbican Cinemas,Cinema,https://www.google.com/maps/place/Barbican+Cinemas/data=!4m7!3m6!1s0x48761ca9ec51a725:0xa4b193563665e88e!8m2!3d51.5210653!4d-0.0927991!16s%2Fg%2F11bcdywmmz!19sChIJJadR7KkcdkgRjuhlNlaTsaQ?authuser=0&hl=en&rclk=1,Central+London
Birkbeck Cinema,Cinema,https://www.google.com/maps/place/Birkbeck+Cinema/data=!4m7!3m6!1s0x48761b2fedd312af:0xa28eb653d70d82c1!8m2!3d51.524668!4d-0.1302648!16s%2Fg%2F11bcdhn2cc!19sChIJrxLT7S8bdkgRwYIN11O2jqI?authuser=0&hl=en&rclk=1,Central+London
NFT 1,Cinema,https://www.google.com/maps/place/NFT+1/data=!4m7!3m6!1s0x4876053c73ff931b:0xb101af6f57d36c7e!8m2!3d51.5069298!4d-0.1151359!16s%2Fg%2F11g3xkb1kn!19sChIJG5P_czwFdkgRfmzTV2-vAbE?authuser=0&hl=en&rclk=1,Central+London
Everyman Kings Cross,Cinema,https://www.google.com/maps/place/Everyman+Kings+Cross/data=!4m7!3m6!1s0x48761b16728e608f:0x173a846b9fd36256!8m2!3d51.5374946!4d-0.1240082!16s%2Fg%2F11gdrkfy3z!19sChIJj2COchYbdkgRVmLTn2uEOhc?authuser=0&hl=en&rclk=1,Central+London
Vue Cinemas,Cinema,https://www.google.com/maps/place/Vue+Cinemas/data=!4m7!3m6!1s0x48761b42c64656fd:0xba93d66bde158466!8m2!3d51.534207!4d-0.1059779!16s%2Fg%2F1tf9xxl2!19sChIJ_VZGxkIbdkgRZoQV3mvWk7o?authuser=0&hl=en&rclk=1,Central+London
Barbican Cinema 1,Cinema,https://www.google.com/maps/place/Barbican+Cinema+1/data=!4m7!3m6!1s0x48761ca98b08f183:0xc972a7f4673a6f7c!8m2!3d51.5197143!4d-0.0933989!16s%2Fg%2F1q65dzwzf!19sChIJg_EIi6kcdkgRfG86Z_Sncsk?authuser=0&hl=en&rclk=1,Central+London
Curzon Aldgate,Cinema,https://www.google.com/maps/place/Curzon+Aldgate/data=!4m7!3m6!1s0x4876033543fcf3cd:0xebbd11285d16d3ce!8m2!3d51.5137742!4d-0.0690075!16s%2Fg%2F11c613c0cq!19sChIJzfP8QzUDdkgRztMWXSgRves?authuser=0&hl=en&rclk=1,Central+London
BFI Southbank,Cinema,https://www.google.com/maps/place/BFI+Southbank/data=!4m7!3m6!1s0x487604b7e7c78711:0x3427f18d546137bd!8m2!3d51.5067628!4d-0.1150595!16s%2Fm%2F02q0sjz!19sChIJEYfH57cEdkgRvTdhVI3xJzQ?authuser=0&hl=en&rclk=1,Central+London
Everyman Broadgate,Cinema,https://www.google.com/maps/place/Everyman+Broadgate/data=!4m7!3m6!1s0x48761d8c30f23d6f:0xff38a3abfff7d2d!8m2!3d51.5193479!4d-0.0847723!16s%2Fg%2F11fjs7dnkl!19sChIJbz3yMIwddkgRLX3_vzqK8w8?authuser=0&hl=en&rclk=1,Central+London
The Cinema in the Arches,Cinema,https://www.google.com/maps/place/The+Cinema+in+the+Arches/data=!4m7!3m6!1s0x4876057518d98417:0x5a946061ddcbaef9!8m2!3d51.4826889!4d-0.1468929!16s%2Fg%2F11h2kbhpsg!19sChIJF4TZGHUFdkgR-a7L3WFglFo?authuser=0&hl=en&rclk=1,Central+London
Electric Theatre,Cinema,https://www.google.com/maps/place/Electric+Theatre/data=!4m7!3m6!1s0x487604a562d57f49:0x8be8b51b46eaafc2!8m2!3d51.5042871!4d-0.1034537!16s%2Fg%2F11j8lmkdvb!19sChIJSX_VYqUEdkgRwq_qRhu16Is?authuser=0&hl=en&rclk=1,Central+London
The Cinema in The Power Station,Cinema,https://www.google.com/maps/place/The+Cinema+in+The+Power+Station/data=!4m7!3m6!1s0x487605b70d9d5ddb:0xf723b2d03d4bc9cc!8m2!3d51.4820443!4d-0.144486!16s%2Fg%2F11tjm4hbjk!19sChIJ212dDbcFdkgRzMlLPdCyI_c?authuser=0&hl=en&rclk=1,Central+London
Hackney Picturehouse,Cinema,https://www.google.com/maps/place/Hackney+Picturehouse/data=!4m7!3m6!1s0x48761ce4efa0cde7:0x84e53a537d9126ef!8m2!3d51.5446763!4d-0.0550042!16s%2Fg%2F11hgl4d2fg!19sChIJ582g7-QcdkgR7yaRfVM65YQ?authuser=0&hl=en&rclk=1,Central+London
Everyman on the Corner,Cinema,https://www.google.com/maps/place/Everyman+on+the+Corner/data=!4m7!3m6!1s0x48761b17b13ac937:0xdf85b23277d069f5!8m2!3d51.537668!4d-0.1269773!16s%2Fg%2F11c45qrps_!19sChIJN8k6sRcbdkgR9WnQdzKyhd8?authuser=0&hl=en&rclk=1,Central+London
Curzon Sea Containers,Cinema,https://www.google.com/maps/place/Curzon+Sea+Containers/data=!4m7!3m6!1s0x487604b1c3be250b:0xedc40095bb1d8849!8m2!3d51.5085457!4d-0.1066922!16s%2Fg%2F11b6gqqd_8!19sChIJCyW-w7EEdkgRSYgdu5UAxO0?authuser=0&hl=en&rclk=1,Central+London
London Theatre Booking,Cinema,https://www.google.com/maps/place/London+Theatre+Booking/data=!4m7!3m6!1s0x487604cd2d4da115:0xacedd9b27b91dc3c!8m2!3d51.514928!4d-0.1269456!16s%2Fg%2F11g81dtr22!19sChIJFaFNLc0EdkgRPNyRe7LZ7aw?authuser=0&hl=en&rclk=1,Central+London
Cine Lumiere,Cinema,https://www.google.com/maps/place/Cine+Lumiere/data=!4m7!3m6!1s0x4876055d436a6d35:0xc92b0da83a99e9e8!8m2!3d51.4945536!4d-0.1770752!16s%2Fg%2F1tptq2cz!19sChIJNW1qQ10FdkgR6OmZOqgNK8k?authuser=0&hl=en&rclk=1,Central+London
Genesis Cinema,Cinema,https://www.google.com/maps/place/Genesis+Cinema/data=!4m7!3m6!1s0x48761cd6970e22f7:0x3e2931af6317216!8m2!3d51.5211404!4d-0.051122!16s%2Fg%2F12hqtrzr1!19sChIJ9yIOl9YcdkgRFnIx9hqT4gM?authuser=0&hl=en&rclk=1,Central+London
Teepee Productions,Cinema,https://www.google.com/maps/place/Teepee+Productions/data=!4m7!3m6!1s0x48761b2d4cd10fc1:0xd17a8a1a354c6e75!8m2!3d51.5149636!4d-0.1301545!16s%2Fg%2F11ckr_8j1v!19sChIJwQ_RTC0bdkgRdW5MNRqKetE?authuser=0&hl=en&rclk=1,Central+London
ODEON Camden,Cinema,https://www.google.com/maps/place/ODEON+Camden/data=!4m7!3m6!1s0x48761ae1aceacda1:0x2a403709b1f8bda2!8m2!3d51.5388368!4d-0.143529!16s%2Fg%2F1tmk7_1y!19sChIJoc3qrOEadkgRor34sQk3QCo?authuser=0&hl=en&rclk=1,Central+London
Bertha DocHouse,Cinema,https://www.google.com/maps/place/Bertha+DocHouse/data=!4m7!3m6!1s0x48761b374bfbb461:0xa070cb30d8f2a22!8m2!3d51.5241334!4d-0.1230759!16s%2Fg%2F11bc962fpk!19sChIJYbT7SzcbdkgRIiqPDbMMBwo?authuser=0&hl=en&rclk=1,Central+London
The Garden Cinema,Arts Organisation,https://www.google.com/maps/place/The+Garden+Cinema/data=!4m7!3m6!1s0x48761b23f1e949af:0x38ef331bdb7dd8b6!8m2!3d51.5162287!4d-0.1213372!16s%2Fg%2F11hzwz6z80!19sChIJr0np8SMbdkgRtth92xsz7zg?authuser=0&hl=en&rclk=1,Central+London
Peckhamplex,Cinema,https://www.google.com/maps/place/Peckhamplex/data=!4m7!3m6!1s0x487603a04ed28a3b:0x281104011b747159!8m2!3d51.4707274!4d-0.0682969!16s%2Fg%2F11y6cgylr!19sChIJO4rSTqADdkgRWXF0GwEEESg?authuser=0&hl=en&rclk=1,Central+London
Everyman Chelsea,Cinema,https://www.google.com/maps/place/Everyman+Chelsea/data=!4m7!3m6!1s0x487605a584d96379:0xf3f3420d1cb3985c!8m2!3d51.4854194!4d-0.1733711!16s%2Fg%2F11j7k25546!19sChIJeWPZhKUFdkgRXJizHA1C8_M?authuser=0&hl=en&rclk=1,Central+London
Ritzy Cinema and Cafe,Cinema,https://www.google.com/maps/place/Ritzy+Cinema+and+Cafe/data=!4m7!3m6!1s0x4876046863ee2d23:0x77bf73dcc9e728fd!8m2!3d51.4612025!4d-0.115018!16s%2Fm%2F02816d7!19sChIJIy3uY2gEdkgR_Sjnydxzv3c?authuser=0&hl=en&rclk=1,Central+London
Greenwich Picturehouse,Cinema,https://www.google.com/maps/place/Greenwich+Picturehouse/data=!4m7!3m6!1s0x4876028606c5ee49:0xc30a050deb4e042f!8m2!3d51.4794877!4d-0.0096668!16s%2Fg%2F1tj5kmhn!19sChIJSe7FBoYCdkgRLwRO6w0FCsM?authuser=0&hl=en&rclk=1,Central+London
ODEON Luxe & Dine Islington,Cinema,https://www.google.com/maps/place/ODEON+Luxe+%26+Dine+Islington/data=!4m7!3m6!1s0x48761b0db1b72ecb:0xfe777e5ad9aa51f3!8m2!3d51.5388668!4d-0.1036498!16s%2Fg%2F11j11z67k8!19sChIJyy63sQ0bdkgR81Gq2Vp-d_4?authuser=0&hl=en&rclk=1,Central+London
Fulham Road Picturehouse,Cinema,https://www.google.com/maps/place/Fulham+Road+Picturehouse/data=!4m7!3m6!1s0x487605644a2d71db:0x9aff8038bc74e790!8m2!3d51.4871141!4d-0.1793828!16s%2Fm%2F0pkzt1r!19sChIJ23EtSmQFdkgRkOd0vDiA_5o?authuser=0&hl=en&rclk=1,Central+London
Everyman Screen on the Green,Cinema,https://www.google.com/maps/place/Everyman+Screen+on+the+Green/data=!4m7!3m6!1s0x48761b678faeb981:0xa8ac64894887837d!8m2!3d51.5368677!4d-0.1036593!16s%2Fg%2F1vzn50_5!19sChIJgbmuj2cbdkgRfYOHSIlkrKg?authuser=0&hl=en&rclk=1,Central+London
Rio Cinema,Cinema,https://www.google.com/maps/place/Rio+Cinema/data=!4m7!3m6!1s0x48761c8c30e2e01f:0xc6fb4861ffc911f4!8m2!3d51.5496766!4d-0.0755165!16s%2Fm%2F011snh23!19sChIJH-DiMIwcdkgR9BHJ_2FI-8Y?authuser=0&hl=en&rclk=1,Central+London
Curzon Camden,Cinema,https://www.google.com/maps/place/Curzon+Camden/data=!4m7!3m6!1s0x48761bf6716a4f1d:0x555a84d4da626431!8m2!3d51.5422499!4d-0.143483!16s%2Fg%2F11p6580bjb!19sChIJHU9qcfYbdkgRMWRi2tSEWlU?authuser=0&hl=en&rclk=1,Central+London
Phoenix Cinema London,Cinema,https://www.google.com/maps/place/Phoenix+Cinema+London/data=!4m7!3m6!1s0x48761a3d4f17478b:0xc7182c6b3d47a8f0!8m2!3d51.5885222!4d-0.1638488!16zL20vMDY3NTc2!19sChIJi0cXTz0adkgR8KhHPWssGMc?authuser=0&hl=en&rclk=1,Central+London
Clapham Picturehouse,Cinema,https://www.google.com/maps/place/Clapham+Picturehouse/data=!4m7!3m6!1s0x487604528201ffd7:0x934ac4fee61fef4a!8m2!3d51.4624978!4d-0.1381214!16s%2Fg%2F1tgdhgbv!19sChIJ1_8BglIEdkgRSu8f5v7ESpM?authuser=0&hl=en&rclk=1,Central+London
Pop-Up Cinema,Cinema,https://www.google.com/maps/place/Pop-Up+Cinema/data=!4m7!3m6!1s0x47d8a9f3275f5b9d:0xe86dca94b58be80c!8m2!3d51.5004856!4d0.0054242!16s%2Fg%2F11f8jx9lpm!19sChIJnVtfJ_Op2EcRDOiLtZTKbeg?authuser=0&hl=en&rclk=1,Central+London
BFI Stephen Street,Events Venue,https://www.google.com/maps/place/BFI+Stephen+Street/data=!4m7!3m6!1s0x48761b2c59f97213:0x3e0f4861c8c60edb!8m2!3d51.5179484!4d-0.1327631!16s%2Fg%2F1w6_n9gv!19sChIJE3L5WSwbdkgR2w7GyGFIDz4?authuser=0&hl=en&rclk=1,East+London
The Castle Cinema,Cinema,https://www.google.com/maps/place/The+Castle+Cinema/data=!4m7!3m6!1s0x48761d03da57994b:0x34d9cbdbc2dd0f01!8m2!3d51.5512961!4d-0.0432945!16s%2Fg%2F11c1rfwddc!19sChIJS5lX2gMddkgRAQ_dwtvL2TQ?authuser=0&hl=en&rclk=1,East+London
Cineworld Cinema West India Quay,Cinema,https://www.google.com/maps/place/Cineworld+Cinema+West+India+Quay/data=!4m7!3m6!1s0x487602c7b0543721:0x9f4434f74a36a611!8m2!3d51.5078639!4d-0.022363!16s%2Fm%2F0pkzs2c!19sChIJITdUsMcCdkgREaY2Svc0RJ8?authuser=0&hl=en&rclk=1,East+London
Everyman Canary Wharf,Cinema,https://www.google.com/maps/place/Everyman+Canary+Wharf/data=!4m7!3m6!1s0x487602b73a00cddb:0x8a0668cd288be896!8m2!3d51.5061671!4d-0.0180542!16s%2Fg%2F11c3kct943!19sChIJ280AOrcCdkgRluiLKM1oBoo?authuser=0&hl=en&rclk=1,East+London
ODEON Surrey Quays,Cinema,https://www.google.com/maps/place/ODEON+Surrey+Quays/data=!4m7!3m6!1s0x487602dfa8343619:0xc626e03c5ec8fce5!8m2!3d51.4960579!4d-0.0448668!16s%2Fg%2F124sq6w4j!19sChIJGTY0qN8CdkgR5fzIXjzgJsY?authuser=0&hl=en&rclk=1,East+London
Curzon Hoxton,Cinema,https://www.google.com/maps/place/Curzon+Hoxton/data=!4m7!3m6!1s0x48761ca4e83a4dd1:0xd56636633a20126b!8m2!3d51.5288916!4d-0.0837518!16s%2Fg%2F11n07_1s46!19sChIJ0U066KQcdkgRaxIgOmM2ZtU?authuser=0&hl=en&rclk=1,East+London
Rich Mix,Cinema,https://www.google.com/maps/place/Rich+Mix/data=!4m7!3m6!1s0x48761cb773453e0d:0xd118b06abc74934c!8m2!3d51.5243955!4d-0.0731968!16s%2Fm%2F02rzgvs!19sChIJDT5Fc7ccdkgRTJN0vGqwGNE?authuser=0&hl=en&rclk=1,East+London
East Dulwich Picturehouse & Cafe,Cinema,https://www.google.com/maps/place/East+Dulwich+Picturehouse+%26+Cafe/data=!4m7!3m6!1s0x48760393f62bc883:0xdfb0aebad8748184!8m2!3d51.4564201!4d-0.076172!16s%2Fg%2F11b6q3f_bp!19sChIJg8gr9pMDdkgRhIF02LqusN8?authuser=0&hl=en&rclk=1,East+London
Vue Cinema London - Westfield Stratford,Cinema,https://www.google.com/maps/place/Vue+Cinema+London+-+Westfield+Stratford/data=!4m7!3m6!1s0x48761d7d1bf92139:0x55d4ac78e4f19bf6!8m2!3d51.5436692!4d-0.0064932!16s%2Fg%2F1yh9ttsvn!19sChIJOSH5G30ddkgR9pvx5His1FU?authuser=0&hl=en&rclk=1,East+London
CH Cinema - The Ultimate Drive-in and Outdoor Experience,Cinema,https://www.google.com/maps/place/CH+Cinema+-+The+Ultimate+Drive-in+and+Outdoor+Experience/data=!4m7!3m6!1s0x487603b87dfc5803:0x57264aa2c2df6e84!8m2!3d51.5112549!4d-0.0873154!16s%2Fg%2F11j1xm0p6y!19sChIJA1j8fbgDdkgRhG7fwqJKJlc?authuser=0&hl=en&rclk=1,East+London
"Cineworld Cinema at The O2, Greenwich",Cinema,"https://www.google.com/maps/place/Cineworld+Cinema+at+The+O2,+Greenwich/data=!4m7!3m6!1s0x47d8a81dcaaaaaab:0xb3ca4f4fde6ca073!8m2!3d51.5031924!4d0.0044716!16s%2Fg%2F12hlyx0qh!19sChIJq6qqyh2o2EcRc6Bs3k9PyrM?authuser=0&hl=en&rclk=1",East+London
Empire Cinemas - Walthamstow,Cinema,https://www.google.com/maps/place/Empire+Cinemas+-+Walthamstow/data=!4m7!3m6!1s0x48761de90c48d16b:0x5efb3fc92821af7a!8m2!3d51.5849557!4d-0.0200322!16s%2Fg%2F11btmcj8yf!19sChIJa9FIDOkddkgReq8hKMk_-14?authuser=0&hl=en&rclk=1,East+London
Shoreditch Screening Room,Cinema,https://www.google.com/maps/place/Shoreditch+Screening+Room/data=!4m7!3m6!1s0x48761defed4fc103:0xff93f1112bb60358!8m2!3d51.524303!4d-0.0739881!16s%2Fg%2F11qpy9kkf5!19sChIJA8FP7e8ddkgRWAO2KxHxk_8?authuser=0&hl=en&rclk=1,East+London
Tt Cinema,Cinema,https://www.google.com/maps/place/Tt+Cinema/data=!4m7!3m6!1s0x48761cbbb716f6d7:0xfcc2a3adf7b2ae4c!8m2!3d51.5286717!4d-0.0780752!16s%2Fg%2F11s491130s!19sChIJ1_YWt7scdkgRTK6y962jwvw?authuser=0&hl=en&rclk=1,East+London
Whirled Cinema,Cinema,https://www.google.com/maps/place/Whirled+Cinema/data=!4m7!3m6!1s0x4876047bccb4e743:0x34ccfd2596c6a5b9!8m2!3d51.4650527!4d-0.1010271!16s%2Fg%2F1vyxhwxk!19sChIJQ-e0zHsEdkgRuaXGliX9zDQ?authuser=0&hl=en&rclk=1,East+London
Cineworld Cinemas,Cinema,https://www.google.com/maps/place/Cineworld+Cinemas/data=!4m7!3m6!1s0x47d8a68a7ac05567:0x2a7b412f56b2cf06!8m2!3d51.5576238!4d0.0743022!16s%2Fg%2F1tc_kdb9!19sChIJZ1XAeoqm2EcRBs-yVi9Beyo?authuser=0&hl=en&rclk=1,East+London
Finsbury Park Picturehouse,Cinema,https://www.google.com/maps/place/Finsbury+Park+Picturehouse/data=!4m7!3m6!1s0x48761b9b21fcd581:0x6279f2b461b8bf09!8m2!3d51.5651512!4d-0.1075742!16s%2Fg%2F11rbyx603_!19sChIJgdX8IZsbdkgRCb-4YbTyeWI?authuser=0&hl=en&rclk=1,East+London
ODEON Luxe Lee Valley,Cinema,https://www.google.com/maps/place/ODEON+Luxe+Lee+Valley/data=!4m7!3m6!1s0x48761e5a4e65d067:0x1d8879b859cc1f33!8m2!3d51.6331468!4d-0.0372402!16s%2Fg%2F1tjgp20k!19sChIJZ9BlTloedkgRMx_MWbh5iB0?authuser=0&hl=en&rclk=1,East+London
